Código;Produto;Valor Unitário
16007527;CADEIRA ERGONOMICA COMFY 150KG PRETA;3824,86
16007528;GARRAFA TERMICA ACO INOX -1L;186,23
16007529;CHALEIRA ELETRICA COM COADOR 220V -1L;273,68
16007530;SUPORTE PARA COADOR DE CAFE -PORTATIL;0
16007662;MOCHILA PARA TRILHA;324,68
16007663;CARREGADOR POR INDUCAO 5 -10W;0
16007664;CAMISA FLEECE MANGA LONGA P-M-G;0
16007723;ETIQUETA VINIL BRANCA - 38,1MMx38,1MM;715,61
16007724;RIBBON PRETO R6000 - 50,8MMx45,7M;710,7
16007909;CAPSULA CAFE ORIGINAL AROMA CARAMELO;0
16007910;CAPSULA CAFE ORIGINAL VANILLA;0
16007911;MAQUINA CAFE NESPRESSO PRO ZENIUS PRETA;0
16008507;ADESIVO TEKBOND 793 PARA BORRACHA 20G;#VALOR!
16008933;CADEIRA LONGARINA 3 LUGARES COURO PRETO;2755,52
16008934;CADEIRA DE ESCRITORIO FIXA PRETO;1398
16009005;CARTAO DE MEMORIA SDG3/128GB;229,93
16010927;PASTA CATALOGO COM 100 ENVELOPES;54,71
16011283;LIVRO DE REGISTRO DE DESCARTE DE DETRITO;146,23
16011747;PEBOLIM ORIGINAL BONZINI B90;0
16011748;MESA DE TENIS DE MESA PONGORI PPT 930;0
16011749;JOGO DE DARDOS DE PONTA 15INCH;0
16011750;MESA DE XADREZ E DAMAS;0
16012598;RELOGIO DE PAREDE DIGITAL;633,5
16013089;CANETA MARCADOR DE TINTA AMARELA 6MM;57,46
16013131;AR CONDICIONADO GREE 10500BTU 220V;2799
16013313;AR-CONDICIONADO DE JANELA 10500BTU 220V;3390
16013551;ETIQUETA VINIL P/ MEDIÇAO DE ESPESSURA;0
16015844;MOLDURA TECLADO NUMERICO FURUNO FM-8900;0
16015869;FITA ADESIVA SCOTCH 299418 TRANSPARENTE;48,8
16015870;PORTA DUREX PEQUENO BRW;0
16015871;MOUSE PAD PUNHO GEL APP-TECH PT 1 464357;181,9
16016292;GARRAFA SQUEEZE TÉRMICA PERSONAL SIPAT;0
16016358;DISPLAY ACRÍLICO PORT DOC A4 C BOLSO;30,54
16016405;RÉGUA 30 CM TRANSPARENTE;3,77
16016406;APOIO ERGONÔMICO PARA OS PÉS;307,92
16016407;SUPORTE PARA MONITOR MESA;180,25
16016477;CANETA CJPILOT/MARCRETROPROJ1MMAZ12UNID;175,99
16016682;ARMARIO VERT CHAP AC CZ 620X1800X450MM;2448,59
16016715;ETIQUETA AUTOAD PAP OFFSET 288,50X200MM;0
16016818;QUADRO ATIV INOX 150X120X3CM BR AL;467,8
16016886;PRANCHETA VERT AL CZ 235X345MM PREND PR;1191,7
16017219;REGUA 30CM INOX ESC MM/CM;66,32
16017570;ARMARIO HORIZ CHAP AC VM 110X208X60CM;0
16017576;CARTAO PROGR POST CARD PAP CART 90X180MM;0,3
16017584;FITA ADES P/IMPRESS BBP85 AM BRADY/13652;2669,46
16017585;RIBBON PT RES 223,52MM BRADY/13510;2767,19
16017586;FITA ADES P/IMPRESS BBP85 AM BRADY/13563;2822,87
16017587;FITA ADES P/ETIQ VIN BRADY/M71C2000595YL;1201,93
16017588;RIBBON PT RES 50,80MM BRADY/M71R6000;574,49
16017671;CARIMBO TXT AZ AUTOENTINT PLAST 14X38MM;0
16017914;CADEIRA GIR P/JOG FE ACOLCH AZ/PT C/BRAC;1492
16017915;FRAGMENTADORA P/PAP 10L MULTILASER/OF003;724,54
16017918;CANETA ESFEROGRA FINA AZ CRIST CX12 UND;112,3
16017919;CANETA ESFEROGRAF FINA PT CIL FUM C/TAMP;0
16017920;CANETA ESFEROGRAF FINA VM SEXT CRIST;6,8
16017921;CANETA ESFEROGRAF FINA VD CIL VD UNID;0
16017922;LAPIS GRAF HB RED PT C/BORR S/ACAB TOP;20,16
16017923;LAPIS P/COLOR DIV COR CIRC EMB 24 UNID;0
16018015;CAIXA SOM PT 40W HARMAN/JBLBOOMBOX2BLKBR;3758,81
16018044;ARMARIO VERT AC 2 PORT 1200X1900X490MM;2650
16018557;MARCADOR PERMAN PT 2/4,50/8MM UNID;5,2
16018558;MARCADOR PERMAN AZ 2/4,50/8MM UNID;4,89
16018559;MARCADOR PERMAN VD 2/4,50/8MM UNID;4,89
16018560;MARCADOR PERMAN VM 2/4,50/8MM UNID;8,75
16018561;MARCADOR PERMAN PT 2,50-7MM EMB 12;92,4
16018562;MARCADOR PERMAN AZ 1,80-4,50MM EMB 12;576,29
16018563;MARCADOR PERMAN VM 2,50-7MM EMB 12;55,89
16018564;MARCADOR PERMAN VD 1,80-4,50MM EMB 12;92,4
16018565;MARCADOR PERMAN AZ RED 5MM UNID;0
16018566;MARCADOR PERMAN AM 0,90-1,30MM UNID;0
16018567;MARCADOR PERMAN VM RED 1MM UNID;0
16018568;MARCADOR PERMAN VD BISEL 1,60MM UNID;0
16018569;CANETA MARC TXT UNID GRIFPENAMFLUORUNID;23,13
16018747;CLIPE PONT ARRED AC NIQ EMB 100 UNID;0
16018748;CLIPE PONT ARRED 32MM A C UNID;12,21
16018749;FURADOR MAN PAP 4 FUROS AC 16FLS;99,45
16018750;FURADOR MAN PAP 4 FUROS 6MM MET 30FLS;174,5
16018751;REGUA 30CM PS INC ESC CM;3,77
16018752;REGUA 60CM INOX ESC CM/MM;190
